sphere_1,sphere_2,count,avg_sim,max_sim
в сферах естественных монополий,в сферах естественных монополий (услуг аэропортов и аэронавигации) и за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка (услуг аэропортов),15,0.972,0.991
в сферах естественных монополий (услуг аэропортов и аэронавигации) и за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка (услуг аэропортов),в сфере естественных монополий по услугам подачи воды по каналам и регулирования поверхностного стока при помощи подпорных гидротехнических сооружений,14,0.973,0.991
за соблюдением законодательства Республики Казахстан о Национальном архивном фонде и архивах,за соблюдением законодательства Республики Казахстан об электронном документе и электронной цифровой подписи,14,0.996,1.0
в области соблюдения законодательства Республики Казахстан о Национальном архивном фонде и архивах,в сфере электронного документооборота и электронных архивов,14,1.0,1.0
в сфере регистрации актов гражданского состояния,регистрациия прав на недвижимое имущество,14,0.986,1.0
"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",регистрациия прав на недвижимое имущество,13,1.0,1.0
в сфере естественных монополий по услугам подачи воды по каналам и регулирования поверхностного стока при помощи подпорных гидротехнических сооружений,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",13,0.987,1.0
"в области архитектуры, градостроительства и строительства",по вопросам проверок за деятельностью местных исполнительных органов по делам строительства,12,0.987,1.0
в сфере информатизации,за соблюдением законодательства Республики Казахстан об электронном документе и электронной цифровой подписи,12,1.0,1.0
за соблюдением законодательства Республики Казахстан о товарных биржах,за соблюдением законодательства Республики Казахстан об игорном бизнесе,12,0.957,0.957
в области внутреннего водного транспорта;,в сфере транспорта,12,0.985,1.0
В сфере газа и газоснабжения на объектах социальной инфраструктуры,в сфере управления жилищным фондом,11,0.997,1.0
за системой образования (общее среднее образование),"за системой образования (техническое и профессиональное, послесреднее образование)",11,1.0,1.0
в области технического регулирования,за соблюдением законодательства Республики Казахстан об аккредитации в области оценки соответствия,11,0.994,1.0
в области метрологии,в области технического регулирования,11,0.994,1.0
за системой образования (основное среднее образование),"за системой образования (техническое и профессиональное, послесреднее образование)",11,1.0,1.0
в сфере государственной регистрации прав на недвижимое имущество,регистрациия прав на недвижимое имущество,11,1.0,1.0
за системой образования (начальное образование),"за системой образования (техническое и профессиональное, послесреднее образование)",11,1.0,1.0
в сфере электронного документооборота и электронных архивов,за соблюдением законодательства Республики Казахстан о Национальном архивном фонде и архивах,10,0.996,1.0
за системой образования,за системой образования (основное среднее образование),9,0.99,1.0
за системой образования,за системой образования (начальное образование),9,0.99,1.0
в области железнодорожного транспорта,в области технического регулирования,9,0.961,0.969
"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями","за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка, установленных настоящим Кодексом;",9,0.977,1.0
за системой образования,за системой образования (общее среднее образование),9,0.99,1.0
в сфере регистрации актов гражданского состояния,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",8,0.987,1.0
за системой образования (высшее и послевузовское образование),за системой образования (общее среднее образование),8,1.0,1.0
за системой образования (высшее и послевузовское образование),за системой образования (начальное образование),8,1.0,1.0
в сфере государственной регистрации прав на недвижимое имущество,в сфере регистрации актов гражданского состояния,8,0.987,1.0
за системой образования (высшее и послевузовское образование),за системой образования (основное среднее образование),8,1.0,1.0
за геодезической и картографической деятельностью,за использованием и охраной земель,8,0.99,1.0
в области промышленной безопасности,в области электроэнергетики,8,0.958,0.963
за системой образования,"за системой образования (техническое и профессиональное, послесреднее образование)",7,1.0,1.0
за системой образования (высшее и послевузовское образование),"за системой образования (техническое и профессиональное, послесреднее образование)",7,1.0,1.0
в области защиты прав ребенка,за системой образования (начальное образование),7,0.996,0.996
в области защиты прав ребенка,за системой образования (общее среднее образование),7,0.996,0.996
в области защиты прав ребенка,за системой образования (основное среднее образование),7,0.996,0.996
за системой образования,за системой образования (высшее и послевузовское образование),7,1.0,1.0
в сфере государственных услуг,регистрациия прав на недвижимое имущество,6,0.995,1.0
в сфере нотариальной деятельности,регистрациия прав на недвижимое имущество,6,0.958,0.962
в области соблюдения законодательства Республики Казахстан о Национальном архивном фонде и архивах,за соблюдением законодательства Республики Казахстан об электронном документе и электронной цифровой подписи,6,0.997,1.0
в сферах естественных монополий (услуг аэропортов и аэронавигации) и за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка (услуг аэропортов),"за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка, установленных настоящим Кодексом;",6,0.978,0.996
в сфере электронного документооборота и электронных архивов,за соблюдением законодательства Республики Казахстан об электронном документе и электронной цифровой подписи,6,0.997,1.0
"в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора",по вопросам проверок за деятельностью местных исполнительных органов по делам архитектуры и градостроительства,6,0.983,1.0
по вопросам проверок за деятельностью местных исполнительных органов по делам архитектуры и градостроительства,по вопросам проверок за деятельностью местных исполнительных органов по делам государственного архитектурно-строительного контроля и надзора,6,0.991,1.0
"за соблюдением законодательства Республики Казахстан о противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма",за соблюдением законодательства Республики Казахстан о товарных биржах,6,0.962,0.98
в сфере транспорта,за соблюдением законодательства Республики Казахстан об игорном бизнесе,6,0.991,0.991
"в области оборота ядов, вооружения, военной техники и отдельных видов оружия, взрывчатых и пиротехнических веществ и изделий с их применением",в области промышленности,5,0.963,0.968
в области изучения и использования недр,в области промышленной безопасности,4,0.974,0.974
в области ветеринарии,в области промышленной безопасности,4,0.952,0.952
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),в сфере регистрации актов гражданского состояния,4,0.988,1.0
в сфере государственных услуг,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",4,1.0,1.0
в сфере информатизации,в сфере информатизации(в части обеспечения информационной безопасности),4,0.967,0.969
по вопросам проверок за деятельностью местных исполнительных органов по делам государственного архитектурно-строительного контроля и надзора,по вопросам проверок за деятельностью местных исполнительных органов по делам строительства,4,0.978,1.0
в области государственной статистики,в области производства органической продукции,4,0.995,1.0
в области защиты прав ребенка,"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",4,1.0,1.0
В области промышленной безопасности по соблюдению требований безопасной эксплуатации опасных технических устройств в пределах границ населенных пунктов на объектах социальной инфраструктуры,В сфере газа и газоснабжения на объектах социальной инфраструктуры,3,1.0,1.0
в области безопасности и качества хлопка,в области регулирования рынка зерна,3,1.0,1.0
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),регистрациия прав на недвижимое имущество,3,0.967,1.0
в области защиты прав ребенка,в сфере транспорта,3,0.991,0.991
"в области охраны окружающей среды, воспроизводства и использования природных ресурсов",за производством и оборотом отдельных видов нефтепродуктов,3,0.978,0.983
в области связи,за соблюдением законодательства Республики Казахстан об электронном документе и электронной цифровой подписи,3,1.0,1.0
по вопросам проверок за деятельностью местных исполнительных органов по делам архитектуры и градостроительства,по вопросам проверок за деятельностью местных исполнительных органов по делам строительства,3,0.977,1.0
в сфере реализации ювелирных и других изделий из драгоценных металлов и драгоценных камней,в сфере транспорта,3,0.965,0.965
в сферах естественных монополий,"за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка, установленных настоящим Кодексом;",3,0.975,0.983
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",2,0.975,1.0
"в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора",в области защиты прав ребенка,2,0.965,0.965
"в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора",в сфере управления жилищным фондом,2,0.97,0.97
"в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора","при проведении операций по недропользованию в области углеводородов, добычи урана;",2,0.957,0.957
В области промышленной безопасности по соблюдению требований безопасной эксплуатации опасных технических устройств в пределах границ населенных пунктов на объектах социальной инфраструктуры,в области железнодорожного транспорта,2,0.972,0.985
"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",в сфере регистрации актов гражданского состояния,2,0.975,0.975
в сфере реализации ювелирных и других изделий из драгоценных металлов и драгоценных камней,за соблюдением законодательства Республики Казахстан об игорном бизнесе,2,0.975,0.975
за геодезической и картографической деятельностью,"земельных отношений, влияющих на земельные правоотношения и не являющихся субъектами частного предпринимательства",2,0.967,0.971
в сфере санитарно-эпидемиологического благополучия населения,за качеством оказываемых медицинских и специальных социальных услуг,2,0.962,0.962
за соблюдением законодательства Республики Казахстан о рекламе,за соблюдением законодательства Республики Казахстан о телерадиовещании,2,0.971,0.981
в сфере информатизации(в части обеспечения информационной безопасности),за соблюдением законодательства Республики Казахстан об электронном документе и электронной цифровой подписи,2,0.965,0.966
в сфере нотариальной деятельности,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",2,0.962,0.962
в сфере нотариальной деятельности,в сфере регистрации актов гражданского состояния,2,0.962,0.962
в области железнодорожного транспорта,в сфере управления жилищным фондом,2,0.972,0.985
в области производства органической продукции,в сфере регистрации актов гражданского состояния,2,0.975,0.975
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),в сфере государственной регистрации прав на недвижимое имущество,2,0.975,1.0
в области защиты прав ребенка,за соблюдением законодательства Республики Казахстан об игорном бизнесе,2,1.0,1.0
в сфере государственной регистрации прав на недвижимое имущество,в сфере государственных услуг,2,1.0,1.0
в сфере государственной регистрации прав на недвижимое имущество,в сфере нотариальной деятельности,2,0.962,0.962
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",1,0.975,0.975
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),в области производства органической продукции,1,0.975,0.975
в области внутреннего водного транспорта;,в области торгового мореплавания;,1,0.98,0.98
в области внутреннего водного транспорта,в области торгового мореплавания;,1,0.987,0.987
в области безопасности и качества хлопка,в области производства органической продукции,1,1.0,1.0
в области ветеринарии,в области производства органической продукции,1,1.0,1.0
в области безопасности и качества хлопка,в области поддержки и защиты субъектов предпринимательства,1,1.0,1.0
"в области архитектуры, градостроительства и строительства","при проведении операций по недропользованию в области углеводородов, добычи урана;",1,0.957,0.957
"в области архитектуры, градостроительства и строительства",в области защиты прав ребенка,1,0.965,0.965
"в области архитектуры, градостроительства и строительства",в сфере управления жилищным фондом,1,0.97,0.97
в области защиты прав ребенка,"при проведении операций по недропользованию в области углеводородов, добычи урана;",1,0.982,0.982
в области защиты прав ребенка,в сфере управления жилищным фондом,1,0.953,0.953
в области защиты прав ребенка,в сфере реализации ювелирных и других изделий из драгоценных металлов и драгоценных камней,1,0.975,0.975
в области защиты растений;,за соблюдением законодательства Республики Казахстан о рекламе,1,1.0,1.0
в области изучения и использования недр,"в области охраны окружающей среды, воспроизводства и использования природных ресурсов",1,0.973,0.973
в области поддержки и защиты субъектов предпринимательства,в области производства органической продукции,1,1.0,1.0
в области производства органической продукции,в сфере государственной регистрации прав на недвижимое имущество,1,0.975,0.975
в области производства органической продукции,"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",1,1.0,1.0
в сфере государственной регистрации прав на недвижимое имущество,"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",1,0.975,0.975
в области электроэнергетики,в сфере управления жилищным фондом,1,0.951,0.951
в области производства органической продукции,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",1,0.975,0.975
в области производства органической продукции,регистрациия прав на недвижимое имущество,1,0.975,0.975
в области промышленной безопасности,за соблюдением законодательства Республики Казахстан о магистральном трубопроводе,1,0.957,0.957
"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники","в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",1,0.975,0.975
"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",регистрациия прав на недвижимое имущество,1,0.975,0.975
за системой образования,"за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.976,0.976
за системой образования (начальное образование),"за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.976,0.976
за системой образования (высшее и послевузовское образование),"за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.976,0.976
за соблюдением законодательства Республики Казахстан о масс-медиа,за соблюдением законодательства Республики Казахстан о рекламе,1,0.962,0.962
"за системой образования (техническое и профессиональное, послесреднее образование)","за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.976,0.976
за системой образования (общее среднее образование),"за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.976,0.976
за соблюдением законодательства Республики Казахстан о лотереях и лотерейной деятельности,за соблюдением законодательства Республики Казахстан о товарных биржах,1,0.957,0.957
за системой образования (основное среднее образование),"за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.976,0.976
за соблюдением законодательства Республики Казахстан о товарных биржах,"за соблюдением правил воинского учета военнообязанных и призывников организациями, военнообязанными и призывниками",1,0.967,0.967
